epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0452,1.28001,1.60892,1.3799,0.62956,0.5429,0.58539,0.33719,1.57748,1.55305,2.00209,0.000655738,0.000655738,0.000655738
2,26.6747,1.36338,1.7087,1.46755,0.44271,0.45,0.41182,0.23202,2.07646,9.68118,2.27858,0.00131368,0.00131368,0.00131368
3,35.052,1.47044,1.81788,1.53021,0.09971,0.49722,0.10323,0.04691,1.82703,10.1359,2.4884,0.00196282,0.00196282,0.00196282
4,43.4192,1.44481,1.81856,1.54077,0.40761,0.44533,0.41534,0.22397,1.59372,4.45306,1.71797,0.0019604,0.0019604,0.0019604
5,51.8121,1.41051,1.77513,1.51394,0.38625,0.36111,0.27319,0.16553,1.84871,4.05539,1.99354,0.0019472,0.0019472,0.0019472
6,60.1971,1.37606,1.76085,1.46741,0.45732,0.48889,0.44411,0.30445,1.26588,3.56602,1.5309,0.001934,0.001934,0.001934
7,68.5708,1.34363,1.67532,1.45379,0.55945,0.53333,0.54577,0.35079,1.28459,2.31697,1.41113,0.0019208,0.0019208,0.0019208
8,76.9846,1.30563,1.64455,1.41763,0.56896,0.63333,0.63261,0.37768,1.39605,1.76006,1.49514,0.0019076,0.0019076,0.0019076
9,85.3716,1.30239,1.58233,1.41985,0.63086,0.61389,0.64302,0.39857,1.43316,1.7029,1.54119,0.0018944,0.0018944,0.0018944
10,93.7469,1.29917,1.64561,1.41938,0.65047,0.66944,0.71132,0.43552,1.36782,1.41396,1.39519,0.0018812,0.0018812,0.0018812
11,102.278,1.27321,1.55987,1.39314,0.65932,0.63056,0.68413,0.39071,1.49923,1.28265,1.49127,0.001868,0.001868,0.001868
12,110.653,1.25253,1.55058,1.38968,0.65714,0.64444,0.69043,0.43654,1.34821,1.45378,1.44829,0.0018548,0.0018548,0.0018548
13,119.078,1.24015,1.51861,1.38132,0.65442,0.65227,0.68804,0.48059,1.1696,1.61012,1.30904,0.0018416,0.0018416,0.0018416
14,127.466,1.21213,1.49651,1.35416,0.61228,0.7808,0.73703,0.48433,1.26972,1.32692,1.40203,0.0018284,0.0018284,0.0018284
15,135.889,1.19072,1.4287,1.34032,0.68081,0.69167,0.72701,0.50916,1.107,1.13913,1.33265,0.0018152,0.0018152,0.0018152
16,145.119,1.1723,1.45762,1.33092,0.73029,0.77222,0.77753,0.55177,1.06239,1.23941,1.23182,0.001802,0.001802,0.001802
17,153.499,1.14479,1.40498,1.3112,0.73587,0.7,0.75785,0.53093,1.12438,1.09669,1.24108,0.0017888,0.0017888,0.0017888
18,161.886,1.13604,1.40379,1.31326,0.70505,0.71047,0.76879,0.58361,0.99706,1.12079,1.28106,0.0017756,0.0017756,0.0017756
19,170.314,1.15885,1.40649,1.32674,0.75081,0.69167,0.75278,0.56582,0.92132,1.31689,1.20429,0.0017624,0.0017624,0.0017624
20,178.682,1.13257,1.3931,1.30555,0.73244,0.73611,0.78821,0.57852,0.97222,1.28008,1.2312,0.0017492,0.0017492,0.0017492
21,187.143,1.1197,1.388,1.30459,0.67259,0.73889,0.73959,0.57008,0.96912,1.06752,1.20544,0.001736,0.001736,0.001736
22,195.535,1.07522,1.33776,1.26604,0.75204,0.78333,0.80971,0.53512,1.26244,1.16743,1.33099,0.0017228,0.0017228,0.0017228
23,203.887,1.1111,1.33198,1.28511,0.74416,0.75,0.77902,0.56356,1.01558,0.96924,1.25037,0.0017096,0.0017096,0.0017096
24,212.26,1.09131,1.31977,1.27092,0.71844,0.73714,0.77267,0.57714,0.9346,1.26022,1.16426,0.0016964,0.0016964,0.0016964
25,220.665,1.06151,1.29669,1.26411,0.75965,0.65556,0.74242,0.57307,0.90876,1.03001,1.1929,0.0016832,0.0016832,0.0016832
26,229.011,1.03881,1.29059,1.24946,0.78429,0.77778,0.83193,0.6107,1.0091,0.97741,1.22563,0.00167,0.00167,0.00167
27,237.411,1.03885,1.26497,1.24373,0.77158,0.775,0.839,0.6016,1.04086,0.88706,1.22221,0.0016568,0.0016568,0.0016568
28,245.761,1.04733,1.26065,1.2609,0.71503,0.76667,0.79566,0.58842,0.99525,1.01836,1.17745,0.0016436,0.0016436,0.0016436
29,254.105,1.0297,1.25863,1.25637,0.77009,0.80278,0.83949,0.64114,0.91295,0.85225,1.19773,0.0016304,0.0016304,0.0016304
30,262.598,1.0122,1.23804,1.24468,0.76803,0.78175,0.81803,0.62294,0.93493,0.83169,1.17925,0.0016172,0.0016172,0.0016172
31,270.954,1.01673,1.23963,1.2412,0.78231,0.775,0.83916,0.66972,0.82218,0.78144,1.14681,0.001604,0.001604,0.001604
32,279.35,0.9979,1.22723,1.22554,0.82876,0.7663,0.84533,0.66668,0.8237,0.86017,1.13273,0.0015908,0.0015908,0.0015908
33,287.723,1.00852,1.19687,1.23405,0.7567,0.77754,0.81751,0.66262,0.762,0.93099,1.14958,0.0015776,0.0015776,0.0015776
34,296.079,0.99869,1.19557,1.21444,0.80032,0.71252,0.8397,0.66963,0.78725,0.83578,1.09482,0.0015644,0.0015644,0.0015644
35,304.442,1.00861,1.17519,1.22006,0.72113,0.85556,0.83999,0.6728,0.77484,0.87413,1.12371,0.0015512,0.0015512,0.0015512
36,312.832,0.99041,1.20602,1.21965,0.79219,0.75556,0.8324,0.66277,0.82259,0.81333,1.19279,0.001538,0.001538,0.001538
37,321.213,0.98407,1.16837,1.21441,0.84052,0.73611,0.84001,0.68208,0.74199,0.8315,1.0688,0.0015248,0.0015248,0.0015248
38,329.648,0.97798,1.16876,1.20389,0.80763,0.77778,0.86379,0.71251,0.69425,0.85665,1.09328,0.0015116,0.0015116,0.0015116
